case_id,event_id,activity,resource_id,machine_id,product_family,start_ts,end_ts,cycle_time_min,waiting_time_min,queue_before,wip_before,shift,defect_flag,rework_flag,bottleneck_flag,delay_flag,waste_label
ORD-00001,EV-00001-01,Cutting,Operator_A,CNC_01,B,2026-01-20 17:47:14.195641682,2026-01-20 17:52:04.451794229,4.838,8.237,1,5,Morning,0,0,0,0,Waiting
ORD-00001,EV-00001-02,Machining,Operator_B,CNC_02,B,2026-01-20 18:02:28.870484305,2026-01-20 18:13:28.043116846,10.986,10.407,4,4,Morning,0,0,0,0,Inventory
ORD-00001,EV-00001-03,Initial Inspection,Inspector_1,INS_01,B,2026-01-20 18:25:31.765191170,2026-01-20 18:29:54.407270383,4.377,12.062,2,6,Morning,0,0,0,0,Inventory
ORD-00001,EV-00001-04,Assembly,Operator_C,ASM_01,B,2026-01-20 18:53:00.639340794,2026-01-20 19:05:48.441867600,12.797,23.104,2,11,Morning,0,0,1,1,Waiting
ORD-00001,EV-00001-05,Functional Testing,Tester_1,TEST_01,B,2026-01-20 19:45:22.334801553,2026-01-20 19:57:48.618151256,12.438,39.565,6,12,Morning,0,0,1,1,Waiting
ORD-00001,EV-00001-06,Packaging,Operator_D,PACK_01,B,2026-01-20 20:07:58.160833311,2026-01-20 20:13:17.375674530,5.32,10.159,2,2,Morning,0,0,0,0,Defects
ORD-00001,EV-00001-07,Release,Clerk_1,REL_01,B,2026-01-20 20:20:31.823839239,2026-01-20 20:22:54.491769032,2.378,7.241,2,3,Morning,0,0,0,0,Transportation
ORD-00002,EV-00002-01,Cutting,Operator_A,CNC_01,C,2026-02-08 21:22:15.646222836,2026-02-08 21:29:44.632800745,7.483,5.261,1,3,Afternoon,0,0,0,0,Waiting
ORD-00002,EV-00002-02,Machining,Operator_B,CNC_02,C,2026-02-08 21:36:35.811775631,2026-02-08 21:45:48.387527357,9.21,6.853,2,2,Afternoon,0,0,0,0,Defects
ORD-00002,EV-00002-03,Initial Inspection,Inspector_1,INS_01,C,2026-02-08 21:59:32.733065877,2026-02-08 22:06:07.193405680,6.574,13.739,4,5,Afternoon,0,0,0,0,Defects
ORD-00002,EV-00002-04,Assembly,Operator_C,ASM_01,C,2026-02-08 22:14:24.908542564,2026-02-08 22:31:04.610587756,16.662,8.295,1,2,Afternoon,0,0,0,0,Waiting
ORD-00002,EV-00002-05,Functional Testing,Tester_1,TEST_01,C,2026-02-08 22:37:10.994781208,2026-02-08 22:48:22.521718284,11.192,6.106,1,4,Afternoon,1,0,0,0,Defects
ORD-00002,EV-00002-RW,Rework,Rework_Team,RW_01,C,2026-02-08 22:53:38.034638968,2026-02-08 23:02:00.518503734,8.375,5.259,3,2,Afternoon,0,1,0,0,Defects
ORD-00002,EV-00002-06,Packaging,Operator_D,PACK_01,C,2026-02-08 23:05:27.630729901,2026-02-08 23:11:27.219384074,5.993,3.452,3,3,Afternoon,0,0,0,0,Inventory
ORD-00002,EV-00002-07,Release,Clerk_1,REL_01,C,2026-02-08 23:14:10.158483342,2026-02-08 23:17:32.530516458,3.373,2.716,0,1,Afternoon,0,0,0,0,Motion
ORD-00003,EV-00003-01,Cutting,Operator_A,CNC_01,C,2026-01-13 21:02:45.001673906,2026-01-13 21:09:52.163630702,7.119,6.75,1,3,Morning,0,0,0,0,Waiting
ORD-00003,EV-00003-02,Machining,Operator_B,CNC_02,C,2026-01-13 21:23:01.912784949,2026-01-13 21:33:07.077453353,10.086,13.162,1,8,Morning,0,0,0,0,Motion
ORD-00003,EV-00003-03,Initial Inspection,Inspector_1,INS_01,C,2026-01-13 21:47:41.519233045,2026-01-13 21:52:10.093605577,4.476,14.574,6,7,Morning,0,0,0,0,Overprocessing
ORD-00003,EV-00003-04,Assembly,Operator_C,ASM_01,C,2026-01-13 22:10:36.663882765,2026-01-13 22:27:20.013499229,16.722,18.443,5,5,Morning,0,0,1,1,Waiting
